Metropolitan area,population,NFL,NBA,NHL,MLB,team,W,L,winlossratio
New York City,20153634,New York Jets,Brooklyn Nets,New York Rangers,New York Yankees,New York Jets,4,12,0.25
New York City,20153634,New York Jets,New York Knicks,New York Rangers,New York Mets,New York Jets,4,12,0.25
New York City,20153634,New York Jets,New York Knicks,New York Rangers,New York Yankees,New York Jets,4,12,0.25
San Francisco Bay Area,6657982,Oakland Raiders,Golden State Warriors,San Jose Sharks,Oakland Athletics,Oakland Raiders,4,12,0.25
San Francisco Bay Area,6657982,Oakland Raiders,Golden State Warriors,San Jose Sharks,San Francisco Giants,Oakland Raiders,4,12,0.25
Philadelphia,6070500,Philadelphia Eagles,Philadelphia ers,Philadelphia Flyers,Philadelphia Phillies,Philadelphia Eagles,9,7,0.5625
Pittsburgh,2342299,Pittsburgh Steelers,Pittsburgh,Pittsburgh Penguins,Pittsburgh Pirates,Pittsburgh Steelers,9,6,0.6
San Francisco Bay Area,6657982,San Francisco ers,Golden State Warriors,San Jose Sharks,San Francisco Giants,San Francisco ers,4,12,0.25
San Francisco Bay Area,6657982,San Francisco ers,Golden State Warriors,San Jose Sharks,Oakland Athletics,San Francisco ers,4,12,0.25
Seattle,3798902,Seattle Seahawks,Seattle,Seattle,Seattle Mariners,Seattle Seahawks,10,6,0.625
Tampa Bay Area,3032171,Tampa Bay Buccaneers,Tampa Bay Area,Tampa Bay Lightning,Tampa Bay Rays,Tampa Bay Buccaneers,5,11,0.3125
Nashville,1865298,Tennessee Titans,Nashville,Nashville Predators,Nashville,Tennessee Titans,9,7,0.5625
"Washington, D.C.",6131977,Washington Redskins,Washington Wizards,Washington Capitals,Washington Nationals,Washington Redskins,7,9,0.4375
